	Age	Current Position	Name	Price	Shares Traded	Since	symbol
0	64.0	Executive Chairman of the Board, President	Inge Thulin			2018.0	MMM.N
1	58.0	Chief Executive Officer, Chief Operating Officer	Michael Roman			2018.0	MMM.N
2	61.0	Vice Chairman and Executive Vice President	Hak Shin			2017.0	MMM.N
3	53.0	Chief Financial Officer, Senior Vice President	Nicholas Gangestad			2014.0	MMM.N
4	58.0	Executive Vice President, Industrial Business Group.	James Bauman			2017.0	MMM.N
5	56.0	Executive Vice President - International Operations	Julie Bushman			2017.0	MMM.N
6	58.0	Executive Vice President - Consumer Business Group	Joaquin Delgado			2016.0	MMM.N
7	50.0	Executive Vice President - Electronics & Energy Business Group.	Ashish Khandpur			2017.0	MMM.N
8		Executive Vice President - Safety and Graphics Business Group	Mojdeh Poul			2018.0	MMM.N
9	51.0	Executive Vice President - Health Care Business Group	Michael Vale			2016.0	MMM.N
10	50.0	Senior Vice President , Research & Development, Chief Technology Officer	John Banovetz			2017.0	MMM.N
11	56.0	Senior Vice President - Legal Affairs, General Counsel	Ivan Fong			2012.0	MMM.N
12	48.0	Senior Vice President - Business Development and Marketing-Sales	Paul Keel			2017.0	MMM.N
13	55.0	Senior Vice President - Human Resources	Marlene McGrath			2012.0	MMM.N
14	43.0	Senior Vice President - Business Transformation and Information Technology	Eric Hammes			2017.0	MMM.N
15	53.0	Senior Vice President - Supply Chain	Jon Lindekugel			2017.0	MMM.N
16	55.0	Senior Vice President - Corporate Communications and Enterprise Services	Kristen Ludgate			2018.0	MMM.N
17	68.0	Lead Independent Director	Michael Eskew			2012.0	MMM.N
18	55.0	Independent Director	Sondra Barbour			2014.0	MMM.N
19	62.0	Independent Director	Thomas Brown			2013.0	MMM.N
20	67.0	Independent Director	David Dillon			2015.0	MMM.N
21	69.0	Independent Director	Herbert Henkel			2007.0	MMM.N
22	46.0	Independent Director	Amy Hood			2017.0	MMM.N
23	65.0	Independent Director	Ahmet Muhtar Kent			2013.0	MMM.N
24	72.0	Independent Director	Edward Liddy			2000.0	MMM.N
25	49.0	Independent Director	Dambisa Moyo			2018.0	MMM.N
26	66.0	Independent Director	Gregory Page			2016.0	MMM.N
27	65.0	Independent Director	Patricia Woertz			2016.0	MMM.N
0	66.0	Executive Chairman of the Board	Ajita Rajendra			2018.0	AOS.N
1	58.0	President, Chief Executive Officer, Chief Operating Officer, Director	Kevin Wheeler			2018.0	AOS.N
2	62.0	Chief Financial Officer, Executive Vice President	John Kita			2011.0	AOS.N
3		President - North Americawater Treatment Business Unit	D. Samuel Karge			2018.0	AOS.N
4	55.0	Executive Vice President, General Counsel, Secretary	James Stern			2007.0	AOS.N
5	51.0	Senior Vice President, Chief Technology Officer	Robert Heideman			2013.0	AOS.N
6	63.0	Senior Vice President, Chief Information Officer	Peter Martineau			2016.0	AOS.N
7	54.0	Senior Vice President - Human Resources and Public Affairs	Mark Petrarca			2006.0	AOS.N
8	59.0	Senior Vice President – International, President – A. O. Smith Holdings (Barbados) SRL	Wilfridus Brouwer			2017.0	AOS.N
9	55.0	Senior Vice President – Global Manufacturing	Paul Dana			2017.0	AOS.N
10	55.0	Senior Vice President, President – A. O. Smith China	Wei Ding			2017.0	AOS.N
11	55.0	Senior Vice President - Strategy and Corporate development	Charles Lauber			2013.0	AOS.N
12	58.0	Senior Vice President, Chief Executive Officer – Lochinvar, LLC	William Vallett			2013.0	AOS.N
13	53.0	Senior Vice President, President and General Manager North America Water Heating	David Warren			2017.0	AOS.N
14	67.0	Lead Independent Director	Gene Wulf			2018.0	AOS.N
15	64.0	Independent Director	Ronald Brown			2013.0	AOS.N
16	66.0	Independent Director	William Greubel			2012.0	AOS.N
17	69.0	Independent Director	Paul Jones			2014.0	AOS.N
18	49.0	Independent Director	Ilham Kadri			2016.0	AOS.N
19	69.0	Independent Director	Bruce Smith			2018.0	AOS.N
20	56.0	Independent Director	Mark Smith			2001.0	AOS.N
21	65.0	Independent Director	Idelle Wolf			2005.0	AOS.N
22		Vice President - Investor Relations and Treasurer	Patricia Ackerman				AOS.N
0	63.0	Chairman of the Board, Chief Executive Officer	Miles White			1999.0	ABT.N
1	45.0	President, Chief Operating Officer	Robert Ford			2018.0	ABT.N
2	49.0	Chief Financial Officer, Executive Vice President - Finance	Brian Yoor			2017.0	ABT.N
3	63.0	President - Cardiovascular and Neuromodulation	Michael Rousseau			2017.0	ABT.N
4	52.0	Executive Vice President, General Counsel, Secretary	Hubert Allen			2013.0	ABT.N
